name,code,link,manager
华商上游产业股票,005161,http://fundf10.eastmoney.com/005161.html,童立
华商消费行业股票,004189,http://fundf10.eastmoney.com/004189.html,何奇峰
华商改革创新股票,002289,http://fundf10.eastmoney.com/002289.html,李双全
华商高端装备制造股票,008009,http://fundf10.eastmoney.com/008009.html,吴昊
华商电子行业量化股票,007685,http://fundf10.eastmoney.com/007685.html,艾定飞
华商医药医疗行业股票,008107,http://fundf10.eastmoney.com/008107.html,陈恒
华商计算机行业量化股票,007853,http://fundf10.eastmoney.com/007853.html,艾定飞
华商新趋势优选灵活配置混合,166301,http://fundf10.eastmoney.com/166301.html,周海栋
华商乐享互联灵活配置混合,001959,http://fundf10.eastmoney.com/001959.html,周海栋
华商优势行业混合,000390,http://fundf10.eastmoney.com/000390.html,周海栋
华商恒益稳健混合,008488,http://fundf10.eastmoney.com/008488.html,周海栋
华商盛世成长混合,630002,http://fundf10.eastmoney.com/630002.html,周海栋
华商策略精选混合,630008,http://fundf10.eastmoney.com/630008.html,周海栋
华商新常态混合,001457,http://fundf10.eastmoney.com/001457.html,吴昊
华商价值共享混合发起式,630016,http://fundf10.eastmoney.com/630016.html,何奇峰
华商润丰灵活配置混合A,003598,http://fundf10.eastmoney.com/003598.html,胡中原
华商润丰灵活配置混合C,007509,http://fundf10.eastmoney.com/007509.html,胡中原
华商健康生活混合,001106,http://fundf10.eastmoney.com/001106.html,何奇峰
华商红利优选混合,000279,http://fundf10.eastmoney.com/000279.html,邓默
华商新量化混合,000609,http://fundf10.eastmoney.com/000609.html,邓默
华商量化进取混合,001143,http://fundf10.eastmoney.com/001143.html,邓默
华商动态阿尔法混合,630005,http://fundf10.eastmoney.com/630005.html,邓默
华商大盘量化精选混合,630015,http://fundf10.eastmoney.com/630015.html,王东旋
华商元亨灵活配置混合,004206,http://fundf10.eastmoney.com/004206.html,胡中原
华商万众创新混合,002669,http://fundf10.eastmoney.com/002669.html,梁皓
华商创新成长混合发起式,000541,http://fundf10.eastmoney.com/000541.html,梁皓
华商双翼平衡混合,001448,http://fundf10.eastmoney.com/001448.html,张永志
华商鑫安灵活混合,004895,http://fundf10.eastmoney.com/004895.html,梁皓
华商新动力混合,001723,http://fundf10.eastmoney.com/001723.html,陈恒
华商产业升级混合,630006,http://fundf10.eastmoney.com/630006.html,彭欣杨
华商智能生活灵活配置混合,001822,http://fundf10.eastmoney.com/001822.html,高兵
华商新兴活力混合,001933,http://fundf10.eastmoney.com/001933.html,高兵
华商科技创新混合,008961,http://fundf10.eastmoney.com/008961.html,童立
华商价值精选混合,630010,http://fundf10.eastmoney.com/630010.html,彭欣杨
华商主题精选混合,630011,http://fundf10.eastmoney.com/630011.html,童立
华商研究精选灵活配置,004423,http://fundf10.eastmoney.com/004423.html,童立
华商新锐产业混合,000654,http://fundf10.eastmoney.com/000654.html,童立
华商双驱优选混合,001449,http://fundf10.eastmoney.com/001449.html,李双全
华商量化优质精选混合,010293,http://fundf10.eastmoney.com/010293.html,邓默
华商未来主题混合,000800,http://fundf10.eastmoney.com/000800.html,李双全
华商龙头优势混合,008555,http://fundf10.eastmoney.com/008555.html,李双全
华商双擎领航混合,010550,http://fundf10.eastmoney.com/010550.html,梁皓
华商领先企业混合,630001,http://fundf10.eastmoney.com/630001.html,吴昊
华商景气优选混合,010403,http://fundf10.eastmoney.com/010403.html,李双全
华商甄选回报混合,010761,http://fundf10.eastmoney.com/010761.html,周海栋
国泰国证有色金属行业指数(LOF),160221,http://fundf10.eastmoney.com/160221.html,谢东旭
