日期,单位净值,累计净值
2017-12-27,1.0000,1.0000
2017-12-29,1.0000,1.0000
2017-12-31,0.9999,0.9999
2018-01-05,1.0047,1.0047
2018-01-12,1.0022,1.0022
2018-01-19,1.0003,1.0003
2018-01-26,1.0194,1.0194
2018-01-29,1.0262,1.0262
2018-01-30,1.0143,1.0143
2018-01-31,1.0091,1.0091
2018-02-01,0.9925,0.9925
2018-02-02,1.0180,1.0180
2018-02-05,1.0162,1.0162
2018-02-06,0.9776,0.9776
2018-02-07,0.9581,0.9581
2018-02-08,0.9377,0.9377
2018-02-09,0.9025,0.9025
2018-02-12,0.9118,0.9118
2018-02-13,0.9171,0.9171
2018-02-14,0.9277,0.9277
2018-02-22,0.9437,0.9437
2018-02-23,0.9507,0.9507
2018-02-26,0.9642,0.9642
2018-02-27,0.9516,0.9516
2018-02-25,0.9491,0.9491
2018-03-01,0.9524,0.9524
2018-03-02,0.9409,0.9409
2018-03-05,0.9387,0.9387
2018-03-06,0.9458,0.9458
2018-03-07,0.9364,0.9364
2018-03-08,0.9400,0.9400
2018-03-09,0.9411,0.9411
2018-03-12,0.9483,0.9483
2018-03-13,0.9452,0.9452
2018-03-14,0.9472,0.9472
2018-03-15,0.9460,0.9460
2018-03-16,0.9402,0.9402
2018-03-19,0.9357,0.9357
2018-03-20,0.9403,0.9403
2018-03-21,0.9388,0.9388
2018-03-22,0.9394,0.9394
2018-03-23,0.9219,0.9219
2018-03-26,0.9229,0.9229
2018-03-27,0.9353,0.9353
2018-03-25,0.9243,0.9243
2018-03-29,0.9265,0.9265
2018-03-30,0.9300,0.9300
2018-04-02,0.9290,0.9290
2018-04-03,0.9290,0.9290
2018-04-04,0.9304,0.9304
2018-04-09,0.9309,0.9309
2018-04-10,0.9349,0.9349
2018-04-11,0.9409,0.9409
2018-04-12,0.9387,0.9387
2018-04-13,0.9371,0.9371
2018-04-16,0.9319,0.9319
2018-04-17,0.9239,0.9239
2018-04-18,0.9237,0.9237
2018-04-19,0.9290,0.9290
2018-04-20,0.9201,0.9201
2018-04-23,0.9118,0.9118
2018-04-24,0.9226,0.9226
2018-04-25,0.9219,0.9219
2018-04-26,0.9156,0.9156
2018-04-27,0.9190,0.9190
2018-05-02,0.9176,0.9176
2018-05-03,0.9224,0.9224
2018-05-04,0.9252,0.9252
2018-05-07,0.9335,0.9335
2018-05-08,0.9347,0.9347
2018-05-09,0.9348,0.9348
2018-05-10,0.9367,0.9367
2018-05-11,0.9334,0.9334
2018-05-14,0.9348,0.9348
2018-05-15,0.9351,0.9351
2018-05-16,0.9335,0.9335
2018-05-17,0.9299,0.9299
2018-05-18,0.9327,0.9327
2018-05-21,0.9308,0.9308
2018-05-22,0.9334,0.9334
2018-05-23,0.9256,0.9256
2018-05-24,0.9263,0.9263
2018-05-25,0.9217,0.9217
2018-05-25,0.9225,0.9225
2018-05-29,0.9199,0.9199
2018-05-30,0.9179,0.9179
2018-05-31,0.9242,0.9242
2018-06-01,0.9203,0.9203
2018-06-04,0.9181,0.9181
2018-06-05,0.9238,0.9238
2018-06-06,0.9234,0.9234
2018-06-07,0.9229,0.9229
2018-06-08,0.9204,0.9204
2018-06-11,0.9144,0.9144
2018-06-12,0.9196,0.9196
2018-06-13,0.9162,0.9162
2018-06-14,0.9132,0.9132
2018-06-15,0.9081,0.9081
2018-06-19,0.8921,0.8921
2018-06-20,0.8987,0.8987
2018-06-21,0.8950,0.8950
2018-06-22,0.9018,0.9018
2018-06-25,0.8963,0.8963
2018-06-26,0.8939,0.8939
2018-06-27,0.8869,0.8869
2018-06-25,0.8778,0.8778
2018-06-29,0.9008,0.9008
2018-06-30,0.9007,0.9007
2018-07-02,0.8818,0.8818
2018-07-03,0.8838,0.8838
2018-07-04,0.8741,0.8741
2018-07-05,0.8563,0.8563
2018-07-06,0.8570,0.8570
2018-07-09,0.8808,0.8808
2018-07-10,0.8891,0.8891
2018-07-11,0.8759,0.8759
2018-07-12,0.8920,0.8920
2018-07-13,0.9027,0.9027
2018-07-16,0.9013,0.9013
2018-07-17,0.8993,0.8993
