2020-10-27,1.0836,1.0836,0%,封闭期,封闭期
2020-10-28,1.0853,1.0853,0.16%,开放申购,开放赎回
2020-10-29,1.0884,1.0884,0.29%,开放申购,开放赎回
2020-10-30,1.0790,1.0790,-0.86%,开放申购,开放赎回
2020-11-02,1.0770,1.0770,-0.19%,开放申购,开放赎回
2020-11-03,1.0796,1.0796,0.24%,开放申购,开放赎回
2020-11-04,1.0813,1.0813,0.16%,开放申购,开放赎回
2020-11-05,1.0821,1.0821,0.07%,开放申购,开放赎回
2020-11-06,1.0816,1.0816,-0.05%,开放申购,开放赎回
2020-11-09,1.0825,1.0825,0.08%,开放申购,开放赎回
2020-11-10,1.0823,1.0823,-0.02%,开放申购,开放赎回
2020-11-11,1.0814,1.0814,-0.08%,开放申购,开放赎回
2020-11-12,1.0816,1.0816,0.02%,开放申购,开放赎回
2020-11-13,1.0812,1.0812,-0.04%,开放申购,开放赎回
2020-11-16,1.0815,1.0815,0.03%,开放申购,开放赎回
2020-11-17,1.0808,1.0808,-0.06%,开放申购,开放赎回
2020-11-18,1.0797,1.0797,-0.10%,开放申购,开放赎回
2020-11-19,1.0800,1.0800,0.03%,开放申购,开放赎回
2020-11-20,1.0811,1.0811,0.10%,开放申购,开放赎回
2020-11-23,1.0819,1.0819,0.07%,开放申购,开放赎回
2020-11-24,1.0818,1.0818,-0.01%,开放申购,开放赎回
2020-11-25,1.0803,1.0803,-0.14%,开放申购,开放赎回
2020-11-26,1.0806,1.0806,0.03%,开放申购,开放赎回
2020-11-27,1.0829,1.0829,0.21%,开放申购,开放赎回
2020-11-30,1.0815,1.0815,-0.13%,开放申购,开放赎回
2020-12-01,1.0855,1.0855,0.37%,开放申购,开放赎回
2020-12-02,1.0843,1.0843,-0.11%,开放申购,开放赎回
2020-12-03,1.0821,1.0821,-0.20%,开放申购,开放赎回
2020-12-04,1.0827,1.0827,0.06%,开放申购,开放赎回
2020-12-07,1.0810,1.0810,-0.16%,开放申购,开放赎回
2020-12-08,1.0809,1.0809,-0.01%,开放申购,开放赎回
2020-12-09,1.0784,1.0784,-0.23%,开放申购,开放赎回
2020-12-10,1.0779,1.0779,-0.05%,开放申购,开放赎回
2020-12-11,1.0741,1.0741,-0.35%,开放申购,开放赎回
2020-12-14,1.0763,1.0763,0.20%,开放申购,开放赎回
2020-12-15,1.0765,1.0765,0.02%,开放申购,开放赎回
2020-12-16,1.0768,1.0768,0.03%,开放申购,开放赎回
2020-12-17,1.0813,1.0813,0.42%,开放申购,开放赎回
2020-12-18,1.0814,1.0814,0.01%,开放申购,开放赎回
2020-12-21,1.0885,1.0885,0.66%,开放申购,开放赎回
2020-12-22,1.0837,1.0837,-0.44%,开放申购,开放赎回
2020-12-23,1.0858,1.0858,0.19%,开放申购,开放赎回
2020-12-24,1.0837,1.0837,-0.19%,开放申购,开放赎回
2020-12-25,1.0909,1.0909,0.66%,开放申购,开放赎回
2020-12-28,1.0939,1.0939,0.28%,开放申购,开放赎回
2020-12-29,1.0886,1.0886,-0.48%,开放申购,开放赎回
2020-12-30,1.0972,1.0972,0.79%,开放申购,开放赎回
2020-12-31,1.1059,1.1059,0.79%,开放申购,开放赎回
2021-01-04,1.1202,1.1202,1.29%,开放申购,开放赎回
2021-01-05,1.1297,1.1297,0.85%,开放申购,开放赎回
2021-01-06,1.1292,1.1292,-0.04%,开放申购,开放赎回
2021-01-07,1.1357,1.1357,0.58%,开放申购,开放赎回
2021-01-08,1.1308,1.1308,-0.43%,开放申购,开放赎回
2021-01-11,1.1268,1.1268,-0.35%,开放申购,开放赎回
2021-01-12,1.1348,1.1348,0.71%,开放申购,开放赎回
2021-01-13,1.1341,1.1341,-0.06%,开放申购,开放赎回
2021-01-14,1.1296,1.1296,-0.40%,开放申购,开放赎回
2021-01-15,1.1297,1.1297,0.01%,开放申购,开放赎回
2021-01-18,1.1303,1.1303,0.05%,开放申购,开放赎回
2021-01-19,1.1261,1.1261,-0.37%,开放申购,开放赎回
2021-01-20,1.1308,1.1308,0.42%,开放申购,开放赎回
2021-01-21,1.1343,1.1343,0.31%,开放申购,开放赎回
2021-01-22,1.1362,1.1362,0.17%,开放申购,开放赎回
2021-01-25,1.1393,1.1393,0.27%,开放申购,开放赎回
2021-01-26,1.1365,1.1365,-0.25%,开放申购,开放赎回
2021-01-27,1.1365,1.1365,0.00%,开放申购,开放赎回
2021-01-28,1.1320,1.1320,-0.40%,开放申购,开放赎回
2021-01-29,1.1324,1.1324,0.04%,开放申购,开放赎回
2021-02-01,1.1336,1.1336,0.11%,开放申购,开放赎回
2021-02-02,1.1392,1.1392,0.49%,开放申购,开放赎回
