2015-07-08,1.0000,1.0000,0%,认购期,认购期
2015-07-23,1.0000,1.0000,0%,封闭期,封闭期
2015-07-24,1.0000,1.0000,0.00%,封闭期,封闭期
2015-07-29,0.9999,0.9999,0%,封闭期,封闭期
2015-07-30,0.9999,0.9999,0.00%,封闭期,封闭期
2015-07-31,0.9999,0.9999,0.00%,开放申购,开放赎回
2015-08-03,1.0006,1.0006,0.07%,开放申购,开放赎回
2015-08-04,1.0015,1.0015,0.09%,开放申购,开放赎回
2015-08-05,1.0013,1.0013,-0.02%,开放申购,开放赎回
2015-08-06,1.0003,1.0003,-0.10%,开放申购,开放赎回
2015-08-07,1.0186,1.0186,1.83%,开放申购,开放赎回
2015-08-10,1.0385,1.0385,1.95%,开放申购,开放赎回
2015-08-11,1.0334,1.0334,-0.49%,开放申购,开放赎回
2015-08-12,1.0204,1.0204,-1.26%,开放申购,开放赎回
2015-08-13,1.0355,1.0355,1.48%,开放申购,开放赎回
2015-08-14,1.0366,1.0366,0.11%,开放申购,开放赎回
2015-08-17,1.0379,1.0379,0.13%,开放申购,开放赎回
2015-08-18,0.9731,0.9731,-6.24%,开放申购,开放赎回
2015-08-19,0.9972,0.9972,2.48%,开放申购,开放赎回
2015-08-20,0.9738,0.9738,-2.35%,开放申购,开放赎回
2015-08-21,0.9193,0.9193,-5.60%,开放申购,开放赎回
2015-08-24,0.8402,0.8402,-8.60%,开放申购,开放赎回
2015-08-25,0.7665,0.7665,-8.77%,开放申购,开放赎回
2015-08-26,0.7262,0.7262,-5.26%,开放申购,开放赎回
2015-08-27,0.7576,0.7576,4.32%,开放申购,开放赎回
2015-08-28,0.8077,0.8077,6.61%,开放申购,开放赎回
2015-08-31,0.7727,0.7727,-4.33%,开放申购,开放赎回
2015-09-01,0.7250,0.7250,-6.17%,开放申购,开放赎回
2015-09-02,0.7144,0.7144,-1.46%,开放申购,开放赎回
2015-09-07,0.7258,0.7258,1.60%,开放申购,开放赎回
2015-09-08,0.7673,0.7673,5.72%,开放申购,开放赎回
2015-09-09,0.8002,0.8002,4.29%,开放申购,开放赎回
2015-09-10,0.7824,0.7824,-2.22%,开放申购,开放赎回
2015-09-11,0.7865,0.7865,0.52%,开放申购,开放赎回
2015-09-14,0.7335,0.7335,-6.74%,开放申购,开放赎回
2015-09-15,0.6942,0.6942,-5.36%,开放申购,开放赎回
2015-09-16,0.7432,0.7432,7.06%,开放申购,开放赎回
2015-09-17,0.7401,0.7401,-0.42%,开放申购,开放赎回
2015-09-18,0.7601,0.7601,2.70%,开放申购,开放赎回
2015-09-21,0.8060,0.8060,6.04%,开放申购,开放赎回
2015-09-22,0.8080,0.8080,0.25%,开放申购,开放赎回
2015-09-23,0.8050,0.8050,-0.37%,开放申购,开放赎回
2015-09-24,0.8192,0.8192,1.76%,开放申购,开放赎回
2015-09-25,0.7881,0.7881,-3.80%,开放申购,开放赎回
2015-09-28,0.8255,0.8255,4.75%,开放申购,开放赎回
2015-09-29,0.8126,0.8126,-1.56%,开放申购,开放赎回
2015-09-30,0.8159,0.8159,0.41%,开放申购,开放赎回
2015-10-08,0.8508,0.8508,4.28%,开放申购,开放赎回
2015-10-09,0.8583,0.8583,0.88%,开放申购,开放赎回
2015-10-12,0.8919,0.8919,3.91%,开放申购,开放赎回
2015-10-13,0.9044,0.9044,1.40%,开放申购,开放赎回
2015-10-14,0.8982,0.8982,-0.69%,开放申购,开放赎回
2015-10-15,0.9218,0.9218,2.63%,开放申购,开放赎回
2015-10-16,0.9262,0.9262,0.48%,开放申购,开放赎回
2015-10-19,0.9167,0.9167,-1.03%,开放申购,开放赎回
2015-10-20,0.9414,0.9414,2.69%,开放申购,开放赎回
2015-10-21,0.9018,0.9018,-4.21%,开放申购,开放赎回
2015-10-22,0.9623,0.9623,6.71%,开放申购,开放赎回
2015-10-23,0.9778,0.9778,1.61%,开放申购,开放赎回
2015-10-26,0.9739,0.9739,-0.40%,开放申购,开放赎回
2015-10-27,0.9953,0.9953,2.20%,开放申购,开放赎回
2015-10-28,0.9483,0.9483,-4.72%,开放申购,开放赎回
2015-10-29,0.9502,0.9502,0.20%,开放申购,开放赎回
2015-10-30,0.9419,0.9419,-0.87%,开放申购,开放赎回
2015-11-02,0.9118,0.9118,-3.20%,开放申购,开放赎回
2015-11-03,0.9063,0.9063,-0.60%,开放申购,开放赎回
2015-11-04,0.9645,0.9645,6.42%,开放申购,开放赎回
2015-11-05,0.9514,0.9514,-1.36%,开放申购,开放赎回
2015-11-06,0.9709,0.9709,2.05%,开放申购,开放赎回
2015-11-09,0.9888,0.9888,1.84%,开放申购,开放赎回
2015-11-10,0.9941,0.9941,0.54%,开放申购,开放赎回
2015-11-11,1.0235,1.0235,2.96%,开放申购,开放赎回
2015-11-12,1.0213,1.0213,-0.21%,开放申购,开放赎回
2015-11-13,0.9747,0.9747,-4.56%,开放申购,开放赎回
2015-11-16,0.9901,0.9901,1.58%,开放申购,开放赎回
2015-11-17,0.9713,0.9713,-1.90%,开放申购,开放赎回
2015-11-18,0.9415,0.9415,-3.07%,开放申购,开放赎回
2015-11-19,0.9662,0.9662,2.62%,开放申购,开放赎回
2015-11-20,0.9715,0.9715,0.55%,开放申购,开放赎回
2015-11-23,0.9662,0.9662,-0.55%,开放申购,开放赎回
2015-11-24,0.9747,0.9747,0.88%,开放申购,开放赎回
2015-11-25,1.0190,1.0190,4.55%,开放申购,开放赎回
2015-11-26,0.9965,0.9965,-2.21%,开放申购,开放赎回
2015-11-27,0.9268,0.9268,-6.99%,开放申购,开放赎回
2015-11-30,0.9301,0.9301,0.36%,开放申购,开放赎回
2015-12-01,0.9329,0.9329,0.30%,开放申购,开放赎回
2015-12-02,0.9174,0.9174,-1.66%,开放申购,开放赎回
2015-12-03,0.9387,0.9387,2.32%,开放申购,开放赎回
2015-12-04,0.9286,0.9286,-1.08%,开放申购,开放赎回
2015-12-07,0.9424,0.9424,1.49%,开放申购,开放赎回
2015-12-08,0.9143,0.9143,-2.98%,开放申购,开放赎回
2015-12-09,0.9063,0.9063,-0.88%,开放申购,开放赎回
2015-12-10,0.9049,0.9049,-0.15%,开放申购,开放赎回
2015-12-11,0.8922,0.8922,-1.40%,开放申购,开放赎回
2015-12-14,0.9088,0.9088,1.86%,开放申购,开放赎回
2015-12-15,0.9110,0.9230,1.56%,暂停申购,暂停赎回
2015-12-16,0.9112,0.9232,0.02%,暂停申购,暂停赎回
2015-12-17,0.9323,0.9443,2.32%,开放申购,开放赎回
2015-12-18,0.9398,0.9518,0.80%,开放申购,开放赎回
2015-12-21,0.9501,0.9621,1.10%,开放申购,开放赎回
2015-12-22,0.9584,0.9704,0.87%,开放申购,开放赎回
2015-12-23,0.9374,0.9494,-2.19%,开放申购,开放赎回
2015-12-24,0.9377,0.9497,0.03%,开放申购,开放赎回
2015-12-25,0.9390,0.9510,0.14%,开放申购,开放赎回
2015-12-28,0.9160,0.9280,-2.45%,开放申购,开放赎回
2015-12-29,0.9220,0.9340,0.66%,开放申购,开放赎回
2015-12-30,0.9363,0.9483,1.55%,开放申购,开放赎回
2015-12-31,0.9129,0.9249,-2.50%,开放申购,开放赎回
2016-01-04,0.8343,0.8463,-8.61%,开放申购,开放赎回
2016-01-05,0.8112,0.8232,-2.77%,开放申购,开放赎回
2016-01-06,0.8251,0.8371,1.71%,开放申购,开放赎回
2016-01-07,0.7532,0.7652,-8.71%,开放申购,开放赎回
2016-01-08,0.7570,0.7690,0.50%,开放申购,开放赎回
2016-01-11,0.7010,0.7130,-7.40%,开放申购,开放赎回
2016-01-12,0.7164,0.7284,2.20%,开放申购,开放赎回
2016-01-13,0.6890,0.7010,-3.82%,开放申购,开放赎回
2016-01-14,0.7248,0.7368,5.20%,开放申购,开放赎回
2016-01-15,0.7067,0.7187,-2.50%,开放申购,开放赎回
2016-01-18,0.7235,0.7355,2.38%,开放申购,开放赎回
2016-01-19,0.7501,0.7621,3.68%,开放申购,开放赎回
2016-01-20,0.7350,0.7470,-2.01%,开放申购,开放赎回
2016-01-21,0.7029,0.7149,-4.37%,开放申购,开放赎回
2016-01-22,0.7071,0.7191,0.60%,开放申购,开放赎回
